cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
45107246322,l*****i,12BJ JARUM PIRING,(1Rtng) Jarum jahitan set piring bulat - Jarum renten kemasan isi 12 bj per renteng,5,,2025-05-29 13:44:03
45107246321,l*****i,Rak segi omahku,Rak Mini segi susun 3 Flower - Rak bumbu kosmetik serbaguna,5,,2025-05-29 13:44:03
45107246318,l*****i,Sutil stainles gajah,Sutil stainless terusan tanggung cap gajah - sutil buntu murah,5,,2025-05-29 13:44:03
45107246317,l*****i,12bj solet kecil,(12pcs) Solet pelet kue plastik Nice spatula murah serbaguna grosir,5,,2025-05-29 13:44:03
45107184446,rikeagustina133,Keset sumbu kecil,Keset sumbu kecil tebal - keset kain serbaguna grosir,4,,2025-05-29 13:38:56
45107184444,rikeagustina133,12bj Lap_warna,(12 pcs) lap serbet dapur warna warni besar tebal kotak kotak 51x51 cm - grosir lap dapur warna,4,,2025-05-29 13:38:56
45107182518,fatanfadil993,Lusinan lem panci,Tambal lem panci bocor lakban aluminium foil kualitas super Per 24 pcs,5,,2025-05-29 13:38:46
45107182517,fatanfadil993,Ttkan panci Polos,Tatakan panci bahan kawat tahan panas murah berkualitas,5,,2025-05-29 13:38:46
45107145371,maula_1001,Tempat sabn SOS,Tempat sabun LS + sikat gigi plastik - tempat sabun sos tempel tembok,4,,2025-05-29 13:35:43
45107129127,a*****1,Silet tatra,Silet cukur tatra original extra tajam 10 pcs - silet serbaguna,5,,2025-05-29 13:34:21
45107123486,yp6ib7r_ss,T. R. Kaki 6,Tatakan kompor rinnai kaki 6 tebal halus original termurah,5,,2025-05-29 13:33:53
45107077068,25nunu,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-05-29 13:30:05
45107015718,xt9smrhjpn,24bks peniti putih,(24bks) Peniti putih rentengan semua ukuran murah grosir,1,,2025-05-29 13:24:57
45106971806,elisnurhasanah622,1pak lilin cakra,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,3,"Kirain lilin yg gede,, eeh taunya kecil😛😛.. estimasi sampe lamaaaa bgt, sekalinya nyampe lilinya banyak yg hancuurr😱😱",2025-05-29 13:21:20
45106890407,roedyiskandar,Keset sumbu kecil,Keset sumbu kecil tebal - keset kain serbaguna grosir,5,,2025-05-29 13:14:38
45106881156,bn0p6w71s_,Erus BRL besar,Erus kuah sop sayur BRL plastik dx cerah grosir,5,,2025-05-29 13:13:53
45106881152,bn0p6w71s_,CORONG_9,Carat air ukuran 9 plastik corong minyak kecil serbaguna mini bahan plastik,5,,2025-05-29 13:13:53
45106854494,bgda9e3swu,1pk lilin panda,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,5,,2025-05-29 13:11:42
45106848459,nainasyantik,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-05-29 13:11:11
45106841565,asnipongoliu86,Peelr double jingpin,Peeler buah double 2 sisi plastik serbaguna murah,5,,2025-05-29 13:10:38
45106824561,sriibuilham,Sealpack 1500ML Wkp,Tepak sealpack toples bulat 1500ml serbaguna coklat plastik,5,,2025-05-29 13:09:13
45106801862,abduljenggot,"Tempat pincuk,Isi 12 pcs",(Isi 12pcs) Tempat Pincuk pecel model rotan plastik warna capucino grosir,5,,2025-05-29 13:07:21
45106716743,yusufdian22,1pak lilin cakra,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,5,,2025-05-29 13:00:34
