cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
46616607612,magalebayob,12BJ KRJ SURAT SP,(Isi 12pcs) Keranjang surat segi panjang sp - Tempat sendok alat tulis kantor plastik grosir,5,,2025-06-05 16:25:11
46616594378,fitriindahhafni,Rak horaz segi,Rak bumbu - rak kosmetik - rak mini susun 3 segi atau sudut capucino,4,,2025-06-05 16:24:15
46616580785,harisbae268,Piring ayam moly,Piring makan plastik moly gambar ayam grosir,3,,2025-06-05 16:23:00
46616580783,harisbae268,Basi asia bulat,Basi sayur bulat plus tutup warna coklat plastik - Basi sovenir grosir,3,,2025-06-05 16:23:00
46616580782,harisbae268,12bj Sendok biasa,Sendok makan stainless berat 15 gram grosir per 1 lusin (12pcs),3,,2025-06-05 16:23:00
46616580780,harisbae268,Rak segi Flower,Rak Mini segi susun 3 Flower - Rak bumbu kosmetik serbaguna,3,,2025-06-05 16:23:00
46616580779,harisbae268,Sutil TY,Sutil gagang kayu TY - sepatula penggorengan murah,3,Kualitas:lumayan,2025-06-05 16:23:00
46616418542,fitriagussittiyaningsih,Sikat semir sepatu,Sikat semir sepatu bulu hitam lembut grosir 1 pcs,5,,2025-06-05 16:10:06
46616262784,u*****d,50bj kecil,Isi 50 pcs Korek api gas kecil SNI murah - korek grosir murah berkualitas,5,,2025-06-05 15:57:42
46616207832,okkyery,12bj Sendok biasa,Sendok makan stainless berat 15 gram grosir per 1 lusin (12pcs),5,,2025-06-05 15:53:13
46616207831,okkyery,1slop hitam,(10pcs) solasi isolasi kertas dan hitam per slop grosir,5,,2025-06-05 15:53:13
46616207830,okkyery,1bj ctkan Melati,(1bj) cetakan bulu puding jelly Bunga melati plastik rainbow,5,,2025-06-05 15:53:13
46616207829,okkyery,Citra No.4,Nampan citra no 4 plastik loyang kue segi serbaguna,5,,2025-06-05 15:53:13
46616207828,okkyery,Kursi abu ONIX,Kursi jongkok CM Abu-abu warna tebal serbaguna - kursi duduk dapur kokoh,5,,2025-06-05 15:53:13
46616207827,okkyery,Kardus saftey,Tambahan packing kardus paket tambahan agar safety,5,,2025-06-05 15:53:13
46616127938,m*****e,"Basi oscar biru,Isi 6 pcs",(Isi 6pcs) Basi tutup prasmanan oval oscar + centong capucino grosir isi 6 pcs,5,,2025-06-05 15:46:41
46616127936,m*****e,"Basi oval keyyen,Isi 12 pcs",(Isi 12pcs) Basi prasmanan oval Keyyen + centong bahan plastik warna tebal grosir,5,,2025-06-05 15:46:41
46616107541,nandideni,12bj T80,(12pcs) Gosok panci stainless cuci piring Merk VA-50 anti karat 18 gram,1,Kemasan asal,2025-06-05 15:45:02
46616069033,hilya5ev5i9ei1u,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,Tampilan:bagus. Bagus dan sesuai,2025-06-05 15:41:57
46616051919,siska.aaa__,CORONG_9,Carat air ukuran 9 plastik corong minyak kecil serbaguna mini bahan plastik,5,,2025-06-05 15:40:44
46616051574,siska.aaa__,Pengaman,Pengaman regulator - pengunci penahan regulator tabung gas 3 kg dan 12 kg,5,,2025-06-05 15:40:39
46616022685,nurul.pratiwi,"Cangkir enamel 6cm,Lurik",Cangkir mug enamel lurik dan polos ukuran 6 cm per 1 pcs,4,,2025-06-05 15:38:09
