cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
52127544827,dqcwa5psqt,Lusinan jaring_8D,(12pcs) Gosok jaring jala hijau cuci piring 8D grosir termurah,3,,2025-06-20 05:50:53
52125959156,alzena02022022,12bj solet kecil,(12pcs) Solet pelet kue plastik Nice spatula murah serbaguna grosir,5,,2025-06-20 05:43:58
52124351558,rendy_mp,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-20 05:37:27
52118228944,l3n4lc98l3,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-20 05:11:01
52117572929,taslimamulyati,Rak hobit oval,Rak dapur susun 3 capucino hobbit coklat - rak serbaguna rak make up,4,Ukuran:kecil,2025-06-20 05:08:12
52116420443,44wgdzpp6i,Kapstok jempol_6,kapstok baju stainless 6 kait - gantungan baju stainless muran,5,,2025-06-20 05:02:18
52116103374,sri1209,12BJ KRJ SURAT SP,(Isi 12pcs) Keranjang surat segi panjang sp - Tempat sendok alat tulis kantor plastik grosir,5,,2025-06-20 05:00:58
52111716399,jonlike,Ttkan panci Polos,Tatakan panci bahan kawat tahan panas murah berkualitas,5,,2025-06-20 04:40:48
52107230913,nanirusmini430,1pk lilin panda,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,5,,2025-06-20 04:25:07
52106053916,anamhanafi,12Bj jasmine besar,(12bj) Cetakan bunga jasmine plastik 7 cm kukus puding bolu per lusin,5,,2025-06-20 04:21:20
52105755994,ex_074i96j,Basi paprika bulat,Basi bulat prasmanan paprika plus tutup grosir,5,,2025-06-20 04:20:17
52101662047,m*****t,Termos eknomis 6L,Termos Capucino 6L dan 8L - Rice Ice bucket ekomonis grosir,5,Mantap,2025-06-20 04:07:06
52101610002,zmno_knder,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,4,,2025-06-20 04:06:55
52097280311,75her,12BJ JARUM PIRING,(1Rtng) Jarum jahitan set piring bulat - Jarum renten kemasan isi 12 bj per renteng,5,,2025-06-20 03:52:42
52097280280,75her,Celengan kaleng XS,Calengan kaleng Mini XS - Celengan sovenir target grosir,5,,2025-06-20 03:52:42
52097280246,75her,"Gayung warna DX,Isi 3 pcs",Gayung warna DX jumbo plastik - gayung mandi murah,5,,2025-06-20 03:52:42
52097280223,75her,Jarum pentul bulat,jarum pentul hijab bulat warna doff per 1 lempeng bulatan,5,,2025-06-20 03:52:42
52097280185,75her,24bks peniti putih,(24bks) Peniti putih rentengan semua ukuran murah grosir,5,,2025-06-20 03:52:42
52097280157,75her,Silet tatra,Silet cukur tatra original extra tajam 10 pcs - silet serbaguna,5,,2025-06-20 03:52:42
