cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
48314965698,ainunabidah,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,4,,2025-06-13 05:13:13
48314167008,ramadhinafhia,Lusinan jaring_8D,(12pcs) Gosok jaring jala hijau cuci piring 8D grosir termurah,5,,2025-06-13 05:11:14
48311382996,taraganteng230,"Tempat kue segi WKP,Isi 6 pcs",(Isi 6pcs) Tempat kue + tutup segi WKP serbaguna higinis Grosir,5,,2025-06-13 05:04:04
48311278620,s*****9,1pak lilin cakra,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,5,Sudah sampai lengkap,2025-06-13 05:03:45
48310644082,rifkysubagti,50bj kecil,Isi 50 pcs Korek api gas kecil SNI murah - korek grosir murah berkualitas,5,,2025-06-13 05:02:09
48308180445,4513_nikomangayuadindapu,Kotak merlion KH,Kotak donat merlion kh plastik tebal 2200 ml serbaguna tutup rapat,5,,2025-06-13 04:56:02
48306808399,bsq_63ncvl,"Keranjang surat sp,Tidak milih warna",Keranjang surat segi panjang super - Tempat alat tulis kantor grosir,5,Ternyata imut2 keranjangnya,2025-06-13 04:51:50
48302796133,madrusayerliyer,Kipas daun waru,kipas tangan plastik karakter waru murah warna warni,5,,2025-06-13 04:42:18
48301435413,t*****n,Pot lily12,Pot bunga putih kecil lily ukuran 10 dan 12 - pot bibit plastik warna putih,5,"Kegunaan:Pot tempat bunga. Desain:Menarik dan cantik. Ketebalan:Cukup tebal. Harga murah dan barang bagus, ukuran sesuai yang diinginkan. Trims seller",2025-06-13 04:38:47
48297209642,anisahbil,Perasan jeruk biasa,Perasan jeruk ipp plastik bening dx grosir - perasan jeruk tangan,5,,2025-06-13 04:27:39
48292777219,riza123ab,Buku tabungan,Bukut tabungan murah isi 12 halaman warna warni grosir,5,Alhamdulillah pesanan dah sampai..Realpict👍👍,2025-06-13 04:16:23
48289067606,deaolshop_19,Muk lovina coklat,Eskan muk tutup mini coklat gambar motif plastik,5,,2025-06-13 04:06:35
